Student_ID,Fathers Name,Mothers Name,Family Name,Father_Education,Mother_Education,Father_Occupation,Mother_Occupation,Annual_Household_Income(NGN),Household_Size,Involvement_in_Kids_Education
ccf3a17156dc4907ba6c34ab6712303a,Umar,Nneka,Femi,Tertiary,None,Doctor,Engineer,"400,000-600,000",3,Very Involved
310c0c003fa741049bf90e27dc96925e,Kehinde,Chigozie,Ejike,Secondary,Tertiary,Farmer,Doctor,"400,000-600,000",4,Very Involved
23e2fcb472d8467d894a05e430b187ef,Olalekan,Chinonso,Abioye,None,None,Civil Servant,Nurse,"400,000-600,000",2,Involved
766ecb15474e4c19aef912766c006f61,Bamidele,Mojisola,Okafor,Primary,Secondary,Engineer,Farmer,"Below 200,000",2,Very Involved
134c6c92ec5b427c9fde4fbf3ff350bf,Bitrus,Ade,Ige,Secondary,Secondary,Farmer,Teacher,"Above 600,000",6,Very Involved
db20a56edc814fe78eda8bbb71710434,Adebowale,Oni,Olanrewaju,None,Secondary,Farmer,Teacher,"400,000-600,000",5,Always busy
a6f2f7b80cf34b5899108be58ce21ea3,Chizoba,Chidiebele,Chika,Primary,Primary,Civil Servant,Farmer,"Above 600,000",5,Involved
03c72ba8d60547708a63f881ffd0f9d5,Eniola,Onyeka,Akpofure,Tertiary,Secondary,Teacher,Nurse,"400,000-600,000",4,Slightly involved
c0e9ab30ed2642e997e011b7f8102383,Bitrus,Otobong,Shehu,Tertiary,Primary,Unemployed,Farmer,"400,000-600,000",4,Slightly involved
680ac07a2a934d62bc835dc0d9441fa5,Udo,Kehinde,Chisom,Primary,None,Teacher,Engineer,"200,000-400,000",5,Very Involved
dd59ba7136b84481bb3a4e3e7c52fa17,Efemena,Uduakobong,Ugochukwu,Secondary,Tertiary,Civil Servant,Unemployed,"Above 600,000",6,Always busy
2a25a8880f024ad0a7067ef466aa9385,Ndubuisi,Olubunmi,Akuchi,None,Primary,Nurse,Civil Servant,"Below 200,000",6,Slightly involved
63f2ae24fc3d4348808d4127610461e3,Chidiebere,Otobong,Akpan,Primary,Primary,Trader,Engineer,"400,000-600,000",3,Involved
c8fe3ccdc8b849c6ad3049cf43e458fc,Adeola,Idowu,Udo,Primary,Primary,Trader,Nurse,"400,000-600,000",2,Involved
b253d2186c4a47ea890617f2747b6dba,Okonkwo,Adebola,Yaƙubu,Secondary,None,Trader,Teacher,"Above 600,000",2,Very Involved
c88a618efed4457dbb026576f512c4c3,Oluwaseun,Olufunke,Umar,Secondary,Tertiary,Farmer,Teacher,"200,000-400,000",3,Very Involved
7c967f79b7e94acaa97065e18e46d534,Chiemeka,Folami,Musa,Tertiary,Tertiary,Teacher,Civil Servant,"Above 600,000",4,Always busy
37bb3eec4bf54b52b09d258c27a0c3d7,Oghenero,Iniobong,Olusegun,None,Secondary,Trader,Unemployed,"Below 200,000",4,Involved
bc594585944548c08ef8c2d6f7fd5646,Abiola,Jamila,Adegoke,None,Secondary,Engineer,Unemployed,"400,000-600,000",6,Slightly involved
504867babf7b439b8f9aea4b8acd4e10,Azubuike,Iniobong,Temitope,Secondary,Tertiary,Doctor,Doctor,"400,000-600,000",4,Always busy
7a0ecfea958c49ba8cd620c20ea2622b,Jatau,Ogechukwu,Ebuka,None,Secondary,Trader,Unemployed,"Below 200,000",4,Always busy
87f7e1fbda4b49caab5cf46780bacd64,Ebuka,Alheri,Chiemeka,None,None,Civil Servant,Nurse,"Below 200,000",6,Involved
82010c62f5f54b228e8fa8e0284d82e5,Uzochi,Toyin,Lawali,Tertiary,Secondary,Nurse,Farmer,"Above 600,000",3,Always busy
118a9d292f92499699f195d014822f53,Onyekachukwu,Yetunde,Abiola,Primary,None,Civil Servant,Civil Servant,"400,000-600,000",6,Always busy
dca02eecacda4acc9165e21098543881,Itoro,Oghenekevwe,Oluwaseun,Secondary,Primary,Doctor,Civil Servant,"200,000-400,000",2,Very Involved
f10c718b1eb0438aa75dd5af3c365296,Ɗanlami,Aishatu,Olusegun,Secondary,Tertiary,Civil Servant,Civil Servant,"Above 600,000",4,Very Involved
94340a033f07481491d63f78e3e9de99,Olusola,Udo,Chukwuemeka,Primary,Primary,Trader,Trader,"400,000-600,000",6,Very Involved
14fcdd549e8f49658a2c827e98326856,Kehinde,Abioye,Abioye,Secondary,None,Nurse,Engineer,"Above 600,000",2,Always busy
90b2b633956b4c0ca8499b926b5252e3,Efe,Chinwe,Ekene,Tertiary,None,Teacher,Nurse,"Below 200,000",5,Involved
42c18a62ef4848d590fd9d3f85d51695,Otobong,Oluwaseun,Kayin,Secondary,None,Trader,Nurse,"200,000-400,000",5,Always busy
506e5a9ab758488dab73295b344a54b8,Dada,Fumnanya,Adekunle,Secondary,Tertiary,Trader,Teacher,"200,000-400,000",6,Slightly involved
21813d25655248a683ff50113d1a85dd,Emem,Halima,Olamilekan,Secondary,Secondary,Trader,Nurse,"200,000-400,000",4,Always busy
750cab754ccc4bc2a53f8a28abf3e3fc,Ifeanyi,Yetunde,Chikere,Secondary,Secondary,Farmer,Civil Servant,"Above 600,000",3,Very Involved
ef8c485bc07a40f2add4253b50f0fd0a,Lekan,Talatu,Adisa,Secondary,Secondary,Trader,Teacher,"Above 600,000",5,Very Involved
9f044aed7552432782627f7312922f83,Chisom,Abidemi,Ifiok,None,None,Engineer,Engineer,"400,000-600,000",4,Involved
19985f15ff004d4d902059e4ff9ab5c2,Adebowale,Dayo,Ogochukwu,Primary,Primary,Doctor,Civil Servant,"200,000-400,000",4,Involved
8181a8cc369147eb89a2688b12c136e0,Shehu,Oluwafunmilayo,Olalekan,Tertiary,Secondary,Farmer,Doctor,"200,000-400,000",3,Slightly involved
5958a499eeea463ea1e8ac6843e42caf,Tochukwu,Olayinka,Nonso,Tertiary,None,Farmer,Civil Servant,"Below 200,000",5,Very Involved
3e896c64e1174ac3919c4ea3e1805081,Akachi,Oni,Enitan,Primary,Primary,Farmer,Trader,"200,000-400,000",3,Always busy
