Student_ID,Class_ID,First_Name,Family_Name,Gender,Date_of_Birth,State of Origin,engagement_in_class,health_condition,Class Spec
ccf3a17156dc4907ba6c34ab6712303a,SS3 Class F,Okorie,Kehinde,Female,2007-06-08,Kebbi,Unactive,None,Art
310c0c003fa741049bf90e27dc96925e,SS1 Class A,Adekunle,Chidi,Female,2010-06-14,Nasarawa,Active,None,Art
23e2fcb472d8467d894a05e430b187ef,SS1 Class D,Ahmadu,Olukayode,Female,2010-05-12,Kebbi,Troublesome,Dyslexia,Science
766ecb15474e4c19aef912766c006f61,SS1 Class F,Ifeanyi,Chi,Male,2006-12-02,Osun,Troublesome,None,Art
134c6c92ec5b427c9fde4fbf3ff350bf,SS1 Class B,Olufemi,Opeyemi,Female,2008-07-17,Jigawa,Active,Dyslexia,Art
db20a56edc814fe78eda8bbb71710434,SS3 Class C,Ime,Jatau,Male,2007-12-10,Niger,Troublesome,None,Science
a6f2f7b80cf34b5899108be58ce21ea3,SS1 Class D,Inyene,Chinedu,Male,2009-11-27,Enugu,Slightly active,Dyslexia,Art
03c72ba8d60547708a63f881ffd0f9d5,SS3 Class B,Ikenna,Amadi,Male,2009-06-23,Borno,Highly active,Dyslexia,Science
c0e9ab30ed2642e997e011b7f8102383,SS1 Class E,Olu,Onyekachi,Male,2010-02-26,Adamawa,Slightly active,None,Art
680ac07a2a934d62bc835dc0d9441fa5,SS1 Class D,Aliyu,Ekwueme,Female,2010-07-24,Lagos,Unactive,None,Art
dd59ba7136b84481bb3a4e3e7c52fa17,SS2 Class F,Musa,Uche,Male,2008-06-14,Kebbi,Highly active,None,Art
2a25a8880f024ad0a7067ef466aa9385,SS2 Class F,Aminu,Chidi,Male,2010-03-30,Delta,Active,None,Art
63f2ae24fc3d4348808d4127610461e3,SS1 Class C,Chinweike,Chi,Female,2009-09-24,Anambra,Slightly active,None,Art
c8fe3ccdc8b849c6ad3049cf43e458fc,SS2 Class A,Okeke,Enitan,Male,2007-12-04,Kogi,Highly active,Dyslexia,Science
b253d2186c4a47ea890617f2747b6dba,SS1 Class C,Ugochukwu,Efe,Female,2009-08-28,Gombe,Highly active,None,Science
c88a618efed4457dbb026576f512c4c3,SS1 Class F,Shehu,Azubuike,Male,2007-10-09,Gombe,Unactive,None,Science
7c967f79b7e94acaa97065e18e46d534,SS2 Class D,Emem,Babajide,Female,2010-06-03,Plateau,Unactive,None,Science
37bb3eec4bf54b52b09d258c27a0c3d7,SS1 Class D,Ndidi,Udo,Female,2010-08-22,Jigawa,Unactive,None,Art
bc594585944548c08ef8c2d6f7fd5646,SS3 Class D,Chidiegwu,Ebuka,Male,2009-09-12,Osun,Highly active,None,Science
504867babf7b439b8f9aea4b8acd4e10,SS3 Class D,Efe,Chijindum,Female,2009-05-08,FCT,Unactive,Ulcer,Art
7a0ecfea958c49ba8cd620c20ea2622b,SS3 Class A,Abiola,Ɗanlami,Male,2008-07-13,Yobe,Highly active,None,Science
87f7e1fbda4b49caab5cf46780bacd64,SS2 Class E,Adebola,Chidiebele,Female,2010-08-26,Ogun,Troublesome,None,Science
82010c62f5f54b228e8fa8e0284d82e5,SS1 Class D,Olufemi,Ige,Male,2009-09-22,Kaduna,Slightly active,None,Science
118a9d292f92499699f195d014822f53,SS1 Class E,Ekenedilichukwu,Ayodele,Male,2007-01-25,Bayelsa,Troublesome,None,Science
dca02eecacda4acc9165e21098543881,SS3 Class D,Kelechi,Balarabe,Female,2008-07-21,Benue,Slightly active,Dyslexia,Science
f10c718b1eb0438aa75dd5af3c365296,SS1 Class F,Olanrewaju,Lekan,Male,2009-08-04,Adamawa,Active,None,Science
94340a033f07481491d63f78e3e9de99,SS1 Class E,Amadi,Eseoghene,Male,2008-04-04,Anambra,Unactive,None,Science
14fcdd549e8f49658a2c827e98326856,SS3 Class B,Oluwasegun,Ademola,Male,2008-05-14,Imo,Highly active,None,Science
90b2b633956b4c0ca8499b926b5252e3,SS3 Class C,Ufuoma,Chibuike,Female,2007-01-07,Lagos,Highly active,None,Art
42c18a62ef4848d590fd9d3f85d51695,SS1 Class A,Efe,Chidiegwu,Male,2009-12-16,Enugu,Slightly active,None,Art
