Student_ID,Fathers Name,Mothers Name,Family Name,Father_Education,Mother_Education,Father_Occupation,Mother_Occupation,Annual_Household_Income(NGN),Household_Size,Involvement_in_Kids_Education
ccf3a17156dc4907ba6c34ab6712303a,Oghenero,Emem,Haruna,Tertiary,Secondary,Farmer,Civil Servant,"200,000-400,000",4,Involved
310c0c003fa741049bf90e27dc96925e,Kayin,Hauwa,Olukayode,Tertiary,Primary,Engineer,Civil Servant,"400,000-600,000",2,Slightly involved
23e2fcb472d8467d894a05e430b187ef,Akpan,Ekene,Ebuka,None,Secondary,Teacher,Engineer,"Above 600,000",5,Involved
766ecb15474e4c19aef912766c006f61,Chidi,Bukola,Adebayo,Primary,None,Doctor,Trader,"Below 200,000",2,Very Involved
134c6c92ec5b427c9fde4fbf3ff350bf,Chuks,Ebele,Idowu,Tertiary,None,Nurse,Nurse,"200,000-400,000",4,Slightly involved
db20a56edc814fe78eda8bbb71710434,Azubuike,Chinonso,Okorie,None,None,Doctor,Nurse,"200,000-400,000",4,Always busy
a6f2f7b80cf34b5899108be58ce21ea3,Ayuba,Ijeoma,Aliyu,Tertiary,Tertiary,Teacher,Farmer,"200,000-400,000",2,Very Involved
03c72ba8d60547708a63f881ffd0f9d5,Chidiebele,Uchenna,Abimbola,Secondary,Secondary,Nurse,Civil Servant,"Below 200,000",4,Slightly involved
c0e9ab30ed2642e997e011b7f8102383,Ejike,Oghenekevwe,Nnamdi,Secondary,Tertiary,Doctor,Nurse,"Above 600,000",4,Involved
680ac07a2a934d62bc835dc0d9441fa5,Umaru,Onyinyechi,Enyinnaya,Secondary,Tertiary,Unemployed,Trader,"Below 200,000",4,Involved
dd59ba7136b84481bb3a4e3e7c52fa17,Umukoro,Maryamu,Ime,Secondary,None,Civil Servant,Nurse,"200,000-400,000",4,Always busy
2a25a8880f024ad0a7067ef466aa9385,Ayokunle,Nkechi,Alaba,Tertiary,Secondary,Teacher,Farmer,"Below 200,000",2,Involved
63f2ae24fc3d4348808d4127610461e3,Chinwendu,Anuli,Oluwatoyin,Tertiary,None,Nurse,Engineer,"Below 200,000",6,Always busy
c8fe3ccdc8b849c6ad3049cf43e458fc,Uduak,Emem,Nnamdi,None,Tertiary,Nurse,Doctor,"200,000-400,000",4,Slightly involved
b253d2186c4a47ea890617f2747b6dba,Olalekan,Onyinyechi,Olukayode,Primary,Tertiary,Trader,Nurse,"Above 600,000",2,Always busy
c88a618efed4457dbb026576f512c4c3,Emem,Onyeka,Onyekachukwu,None,Primary,Nurse,Civil Servant,"400,000-600,000",5,Very Involved
7c967f79b7e94acaa97065e18e46d534,Chukwuebuka,Ebele,Olujimi,None,Tertiary,Doctor,Engineer,"400,000-600,000",2,Always busy
37bb3eec4bf54b52b09d258c27a0c3d7,Abiodun,Inyene,Dada,None,None,Farmer,Doctor,"200,000-400,000",5,Always busy
bc594585944548c08ef8c2d6f7fd5646,Chimezie,Ifeoma,Balarabe,None,Primary,Civil Servant,Civil Servant,"200,000-400,000",3,Involved
504867babf7b439b8f9aea4b8acd4e10,Tunde,Jummai,Haruna,Tertiary,None,Farmer,Teacher,"400,000-600,000",5,Always busy
7a0ecfea958c49ba8cd620c20ea2622b,Haruna,Chidubem,Segun,Tertiary,None,Trader,Teacher,"Below 200,000",6,Very Involved
87f7e1fbda4b49caab5cf46780bacd64,Idowu,Ekundayo,Oluwaseyi,Tertiary,Primary,Unemployed,Farmer,"200,000-400,000",6,Very Involved
82010c62f5f54b228e8fa8e0284d82e5,Ɗanjuma,Kayin,Chigozie,None,None,Doctor,Doctor,"Below 200,000",5,Involved
118a9d292f92499699f195d014822f53,Ejike,Ayo,Babajide,Secondary,Tertiary,Farmer,Doctor,"400,000-600,000",5,Slightly involved
dca02eecacda4acc9165e21098543881,Chidike,Oluchi,Ademola,Secondary,Primary,Civil Servant,Trader,"400,000-600,000",6,Always busy
f10c718b1eb0438aa75dd5af3c365296,Abubakar,Ejiroghene,Chukwuemeka,Primary,Tertiary,Doctor,Nurse,"200,000-400,000",5,Always busy
94340a033f07481491d63f78e3e9de99,Bello,Ade,Ekenedilichukwu,None,None,Nurse,Nurse,"400,000-600,000",6,Slightly involved
14fcdd549e8f49658a2c827e98326856,Abubakar,Chisom,Olu,Secondary,None,Farmer,Civil Servant,"200,000-400,000",5,Very Involved
90b2b633956b4c0ca8499b926b5252e3,Yaƙubu,Obi,Chidiebere,Tertiary,None,Nurse,Teacher,"400,000-600,000",4,Involved
42c18a62ef4848d590fd9d3f85d51695,Ogochukwu,Kehinde,Ɗanlami,None,Tertiary,Trader,Trader,"Above 600,000",2,Involved
506e5a9ab758488dab73295b344a54b8,Bitrus,Ekenedilichukwu,Ime,Secondary,Secondary,Nurse,Engineer,"Below 200,000",2,Always busy
21813d25655248a683ff50113d1a85dd,Chisom,Adisa,Olanrewaju,Primary,Primary,Unemployed,Nurse,"Below 200,000",4,Always busy
750cab754ccc4bc2a53f8a28abf3e3fc,Taiwo,Omolara,Akpofure,Secondary,Secondary,Civil Servant,Doctor,"Above 600,000",5,Slightly involved
ef8c485bc07a40f2add4253b50f0fd0a,Olukayode,Chiemeka,Ese,Secondary,None,Doctor,Doctor,"Above 600,000",3,Involved
9f044aed7552432782627f7312922f83,Abioye,Omobolanle,Bukar,Secondary,Tertiary,Civil Servant,Trader,"Below 200,000",2,Very Involved
19985f15ff004d4d902059e4ff9ab5c2,Abidemi,Ejiroghene,Temitope,Primary,Secondary,Trader,Doctor,"200,000-400,000",2,Always busy
