Student_ID,Class_ID,First_Name,Family_Name,Gender,Date_of_Birth,State of Origin,engagement_in_class,health_condition,Class Spec
ccf3a17156dc4907ba6c34ab6712303a,SS3 Class C,Aliyu,Chukwuebuka,Male,2008-10-07,Ogun,Active,Dyslexia,Art
310c0c003fa741049bf90e27dc96925e,SS1 Class E,Ifeanyi,Aliyu,Female,2007-04-10,Anambra,Slightly active,None,Science
23e2fcb472d8467d894a05e430b187ef,SS3 Class D,Oluwaseyi,Adebola,Male,2010-03-08,Ekiti,Active,Dyslexia,Art
766ecb15474e4c19aef912766c006f61,SS1 Class E,Adetokunbo,Abiodun,Female,2010-03-01,Akwa Ibom,Active,Asthma,Science
134c6c92ec5b427c9fde4fbf3ff350bf,SS2 Class D,Umar,Ifeanyi,Female,2007-08-11,Gombe,Slightly active,Sickle Cell,Art
db20a56edc814fe78eda8bbb71710434,SS1 Class C,Ejiroghene,Mamman,Male,2008-10-04,Ogun,Highly active,None,Art
a6f2f7b80cf34b5899108be58ce21ea3,SS2 Class E,Umukoro,Akpofure,Female,2009-06-05,Sokoto,Slightly active,None,Art
03c72ba8d60547708a63f881ffd0f9d5,SS3 Class C,Chidiebere,Chidiebube,Male,2009-08-24,Oyo,Troublesome,Dyslexia,Science
c0e9ab30ed2642e997e011b7f8102383,SS1 Class F,Ejike,Chidubem,Male,2008-02-18,Ogun,Slightly active,None,Art
680ac07a2a934d62bc835dc0d9441fa5,SS3 Class E,Ime,Okonkwo,Female,2009-08-17,Bayelsa,Active,None,Art
dd59ba7136b84481bb3a4e3e7c52fa17,SS1 Class E,Okeke,Chijioke,Male,2009-03-30,FCT,Troublesome,None,Science
2a25a8880f024ad0a7067ef466aa9385,SS1 Class F,Lawali,Chinweuba,Female,2010-04-20,Adamawa,Highly active,Dyslexia,Art
63f2ae24fc3d4348808d4127610461e3,SS3 Class A,Okeke,Chimezie,Female,2010-10-05,Yobe,Unactive,Dyslexia,Science
c8fe3ccdc8b849c6ad3049cf43e458fc,SS2 Class A,Usman,Chinweike,Female,2009-03-03,Kebbi,Troublesome,Asthma,Science
b253d2186c4a47ea890617f2747b6dba,SS1 Class B,Folami,Onyeka,Female,2008-12-25,Kaduna,Unactive,None,Art
c88a618efed4457dbb026576f512c4c3,SS1 Class C,Ifiok,Azubuike,Female,2009-08-24,Jigawa,Troublesome,None,Art
7c967f79b7e94acaa97065e18e46d534,SS1 Class C,Ige,Chinedu,Male,2010-10-03,Borno,Active,Dyslexia,Science
37bb3eec4bf54b52b09d258c27a0c3d7,SS2 Class E,Chijioke,Uzoma,Female,2007-05-25,Osun,Troublesome,None,Art
bc594585944548c08ef8c2d6f7fd5646,SS2 Class B,Chikere,Uduakobong,Male,2008-02-03,Kwara,Active,Dyslexia,Art
504867babf7b439b8f9aea4b8acd4e10,SS2 Class C,Chi,Alaba,Female,2010-02-20,Anambra,Slightly active,Asthma,Science
7a0ecfea958c49ba8cd620c20ea2622b,SS1 Class C,Chidiegwu,Ejiro,Male,2010-06-13,Kwara,Troublesome,None,Science
87f7e1fbda4b49caab5cf46780bacd64,SS1 Class A,Chuks,Kelechi,Female,2008-10-17,Abia,Unactive,None,Art
82010c62f5f54b228e8fa8e0284d82e5,SS1 Class B,Iniobong,Shehu,Female,2008-07-21,Osun,Highly active,Dyslexia,Art
118a9d292f92499699f195d014822f53,SS3 Class F,Nnamdi,Kayin,Female,2008-10-28,Kwara,Active,Dyslexia,Science
dca02eecacda4acc9165e21098543881,SS2 Class F,Umukoro,Chidiebube,Female,2010-06-19,Anambra,Troublesome,None,Science
f10c718b1eb0438aa75dd5af3c365296,SS3 Class D,Azubuike,Kyauta,Male,2008-05-24,Ebonyi,Slightly active,Dyslexia,Art
94340a033f07481491d63f78e3e9de99,SS2 Class A,Ifeanyichukwu,Chidi,Female,2010-03-13,Benue,Active,None,Science
14fcdd549e8f49658a2c827e98326856,SS1 Class E,Ikechukwu,Rabiu,Female,2009-10-09,Rivers,Troublesome,Dyslexia,Art
90b2b633956b4c0ca8499b926b5252e3,SS3 Class F,Emem,Enyinnaya,Female,2007-01-27,Lagos,Unactive,None,Art
42c18a62ef4848d590fd9d3f85d51695,SS3 Class F,Aliyu,Akpofure,Male,2008-05-30,Cross River,Troublesome,None,Art
506e5a9ab758488dab73295b344a54b8,SS1 Class F,Chinweuba,Adekunle,Male,2008-10-02,Enugu,Active,None,Art
21813d25655248a683ff50113d1a85dd,SS3 Class A,Adebowale,Temitope,Male,2008-05-12,Bauchi,Active,None,Science
750cab754ccc4bc2a53f8a28abf3e3fc,SS3 Class C,Chinweike,Chidiebere,Male,2007-03-06,Taraba,Troublesome,None,Art
ef8c485bc07a40f2add4253b50f0fd0a,SS2 Class F,Uduak,Efe,Female,2008-10-28,Lagos,Active,None,Art
9f044aed7552432782627f7312922f83,SS2 Class A,Umar,Olukayode,Male,2007-04-11,FCT,Highly active,None,Art
19985f15ff004d4d902059e4ff9ab5c2,SS1 Class F,Efe,Olukayode,Male,2009-02-12,Kano,Highly active,None,Science
8181a8cc369147eb89a2688b12c136e0,SS1 Class E,Chike,Yaƙubu,Male,2006-11-18,Sokoto,Troublesome,Dyslexia,Science
5958a499eeea463ea1e8ac6843e42caf,SS3 Class C,Olawale,Oluwasegun,Male,2008-05-07,Imo,Troublesome,None,Science
3e896c64e1174ac3919c4ea3e1805081,SS1 Class C,Ese,Taiwo,Male,2007-03-29,Borno,Troublesome,None,Art
702cdd20286248b888f4ef125e9953d2,SS1 Class E,Adewale,Bello,Male,2009-10-13,Delta,Highly active,None,Science
4d71c366b41b41438b10550cd5704f32,SS3 Class A,Ade,Oni,Male,2007-03-17,Abia,Unactive,None,Art
ce9e1a11fcbb4e59bbddcf7c9c96e9ec,SS1 Class F,Uche,Chiemeka,Female,2008-08-19,Bauchi,Highly active,Dyslexia,Science
aaf91531020041f08768a84fa76afde6,SS1 Class C,Olalekan,Ɗanjuma,Male,2010-07-17,Abia,Troublesome,None,Science
ee87905e4ca445ea8dfa6a56d12dbc9a,SS3 Class F,Chibuzo,Bitrus,Male,2007-07-14,Edo,Unactive,None,Art
e0ccedc5f05d476e9a84a51aa9d3d7c7,SS2 Class A,Abioye,Chinwendu,Male,2007-06-07,Kebbi,Slightly active,None,Art
e3c436571d8c4bac83b409ef2260e70f,SS1 Class F,Folami,Chinwendu,Female,2008-09-14,Kogi,Active,None,Art
27cb6f2a8da04097be0f051b1b66b5a9,SS2 Class F,Oluwasegun,Chidike,Male,2008-04-28,Taraba,Unactive,Ulcer,Science
35ebd32d9ad640ab88212ddb45b89cd9,SS1 Class E,Uche,Ejiroghene,Male,2010-02-13,Kwara,Active,None,Science
afffcfd2341e440b97c700aab7b56ea7,SS2 Class D,Haruna,Lanre,Male,2007-03-27,Taraba,Highly active,None,Science
81627cf1439442e69a587e8aa25d6b29,SS3 Class D,Hamisu,Lawali,Female,2007-02-24,Adamawa,Troublesome,None,Art
e87d1c78e7c441c780497b717d106c60,SS1 Class E,Efemena,Balarabe,Female,2007-02-20,Yobe,Slightly active,Sickle Cell,Science
a260772317a04f498d01280fd89a40c0,SS2 Class C,Olusegun,Olamilekan,Female,2008-06-13,Ebonyi,Slightly active,None,Art
0b49452d46d443f39450281c6c6f7633,SS2 Class B,Chikelu,Ikenna,Male,2010-03-12,Sokoto,Highly active,None,Science
217d65a0c56841cd9563f61600e85ece,SS1 Class C,Chinonso,Ademola,Male,2007-02-03,Osun,Slightly active,None,Art
295d6fbf430f401dbad409e2a319dcb4,SS1 Class C,Umukoro,Ahmadu,Female,2007-10-02,Delta,Active,None,Art
b4a69f3c8d3a4d99b11c21c9bdc14f1f,SS1 Class D,Eniola,Ayo,Female,2008-01-14,Kaduna,Unactive,None,Science
1ca3c448027946a68f9797b06d7ce3c9,SS1 Class C,Chukwuma,Abiodun,Female,2008-10-08,Nasarawa,Slightly active,None,Art
b0e6a969e21342b0b1eedba313432e61,SS3 Class F,Emeka,Chigozie,Female,2010-02-09,Taraba,Troublesome,Dyslexia,Art
093923de8bab4e3ba6286bfbe767dcea,SS3 Class E,Ndubuisi,Onyeka,Male,2007-11-14,Niger,Troublesome,None,Art
8d7248e2951f48d09e84f058d5a804eb,SS2 Class F,Ndubuisi,Chidiebube,Male,2006-11-03,Kwara,Active,None,Science
0ab54bde20a04502ae06809725e97977,SS3 Class C,Kayin,Chukwuma,Female,2008-09-26,Enugu,Unactive,None,Art
eededb07e62346899d59cd2a4eea04e7,SS3 Class A,Ekene,Chike,Female,2007-07-05,Ebonyi,Highly active,None,Art
0a368ce7dc574131b8e1daa7cbceabde,SS3 Class D,Onyekachukwu,Olayinka,Female,2010-03-02,Katsina,Highly active,None,Art
ae9bec3635c7436c9b9962c6e61fecc0,SS1 Class B,Emem,Bukar,Male,2006-12-16,Ekiti,Unactive,None,Art
5a8aaeca1a504ec3aabc25fa3fe12e47,SS2 Class E,Ayomide,Bamidele,Female,2009-03-08,Yobe,Highly active,None,Science
dfed2c43e25646dc8f5486b7c7b5b2bc,SS3 Class B,Kehinde,Ahmadu,Female,2008-04-20,Gombe,Unactive,Dyslexia,Art
bfddc3d99ee34c2ab94d62046808593f,SS1 Class A,Oghenekevwe,Chizoba,Male,2010-03-27,Delta,Slightly active,Dyslexia,Science
3c9ad14cee0c4eb5acfedb992790cebd,SS2 Class A,Oni,Ɗanladi,Female,2008-06-05,Rivers,Unactive,None,Art
ccc56569f9e84369a999b735dd56cc94,SS3 Class E,Onyekachukwu,Amadi,Male,2009-12-28,Kogi,Active,None,Art
698c206fe1a44e10ad534dd0cf8ebc5a,SS3 Class F,Adedayo,Ndidi,Female,2010-07-18,Kogi,Slightly active,None,Art
ecab3301bc8f4d29adea94930658663a,SS2 Class B,Abimbola,Abidemi,Female,2009-02-14,Zamfara,Unactive,None,Art
696608aaee494329884a7b28550a1b46,SS2 Class C,Yalwa,Olawale,Female,2010-07-15,Edo,Slightly active,Dyslexia,Art
bc2cbb0ddd334cc7ab7f089acd5f4822,SS2 Class F,Uzochi,Chike,Female,2007-03-29,Lagos,Unactive,Ulcer,Art
28c13091444d410bbf87e362cf8d446a,SS1 Class F,Ufuoma,Femi,Female,2006-11-06,Anambra,Unactive,None,Art
61ee411a1bac47a7b386f7a4c991603f,SS1 Class F,Ufuoma,Haruna,Female,2008-09-27,Borno,Active,None,Science
787f2425dbcc447789e9db0adf465290,SS1 Class A,Emem,Olabode,Male,2007-07-29,Plateau,Active,None,Art
eb1fa9f2d10b41d0b317347038f16a81,SS1 Class D,Afolabi,Chimezie,Female,2010-02-02,Anambra,Troublesome,None,Science
d20eac174e204d1a998336e375d66ed4,SS1 Class C,Ade,Ugochukwu,Female,2007-11-05,Benue,Troublesome,None,Science
391184973a4342ba9f0f06cbcb9bc326,SS1 Class E,Onyeka,Ikenna,Female,2010-04-19,Bayelsa,Active,None,Art
6601ddd031704437a8f7ef5a060edf5b,SS1 Class A,Bitrus,Ife,Male,2010-10-05,Kano,Slightly active,None,Art
11c58ef0dd464c09875287aa5408f9ac,SS2 Class C,Ibrahim,Chidiebube,Female,2007-08-04,Benue,Highly active,None,Science
59e4b67147744c5885f8bc16f7860b50,SS3 Class B,Akuchi,Itoro,Male,2009-05-13,Katsina,Highly active,None,Science
adf4e62d6651429e8268690ba43825b5,SS3 Class F,Eniola,Ifeanyi,Female,2007-01-16,Bauchi,Active,None,Science
54c63cd889454f2797fa2d8dfb2ca025,SS3 Class B,Afolabi,Olusola,Male,2010-07-20,Ondo,Slightly active,None,Art
e08596db1d8749668710d430f071d879,SS3 Class E,Oluwaseun,Ɗanlami,Female,2007-09-02,Yobe,Unactive,None,Art
94a1875d2db64edb82deffccf86c2ca2,SS1 Class A,Oyibo,Okechukwu,Female,2006-10-24,Plateau,Slightly active,None,Art
09cb394243f54a85bbc9f87af668a617,SS1 Class F,Chukwuebuka,Akachi,Female,2009-09-13,Abia,Troublesome,None,Art
587ef3446f3f420c98b8e4cc1bc044fc,SS1 Class C,Olufemi,Adewale,Female,2010-06-08,Abia,Troublesome,None,Art
6fb78271504d481f89535b63ba81edd9,SS1 Class B,Olamilekan,Adetokunbo,Female,2009-04-10,Zamfara,Highly active,None,Art
1d9af65982ec4f2dbbf6e16f9b3080d5,SS1 Class F,Bamidele,Emem,Male,2010-08-04,Niger,Troublesome,None,Science
30a900ad939b462da645f129629c2ae3,SS1 Class D,Chibueze,Bukar,Male,2007-07-31,Kaduna,Active,None,Science
6fa17735b57243d08b5cea6a41357e8c,SS2 Class E,Obi,Adebayo,Female,2007-11-14,Delta,Active,None,Science
ce777f00ecf24e7685197ff4006ed6e3,SS2 Class F,Ademola,Sani,Female,2006-12-15,Borno,Slightly active,None,Art
f0b5156bb82c4074afd5dea589d7fd6c,SS1 Class D,Folami,Dayo,Male,2007-01-14,Ekiti,Unactive,Dyslexia,Art
3270e4faabae4f43bcae8081bdf070aa,SS1 Class A,Kehinde,Ige,Female,2009-08-05,Akwa Ibom,Active,Dyslexia,Science
f2e9702d11e94daaae6981a35d3d9e56,SS1 Class C,Umar,Ekundayo,Female,2007-02-12,Rivers,Troublesome,None,Art
